SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-18-2018,Single Family Residential,4152 240th Place SE,Bothell,WA,98021,665000,4,3.0,Bothell,2726,3217,2007,39,244,47,Sold,,,http://www.redfin.com/WA/Bothell/4152-240-Pl-SE-98021/unit-5/home/12104851,NWMLS,1348441,N,Y,47.7792761,-122.1757789
PAST SALE,August-30-2018,Single Family Residential,4408 237th Place SE #129,Bothell,WA,98021,799950,4,3.5,Canyon Park,3316,5636,2018,149,241,71,Sold,,,http://www.redfin.com/WA/Bothell/4408-237th-Pl-SE-98021/unit-129/home/143851720,NWMLS,1215337,N,Y,47.7821409,-122.1690859
PAST SALE,November-9-2018,Single Family Residential,19730 11th Dr SE Unit ARV18,Bothell,WA,98012,769995,4,2.5,Thrashers Corner,2346,4699,2018,78,328,81,Sold,,,http://www.redfin.com/WA/Bothell/19730-11th-Dr-SE-98012/unit-ARV18/home/146242581,NWMLS,1326891,N,Y,47.8137925,-122.2165806
PAST SALE,September-24-2018,Single Family Residential,19016 Ross Rd,Bothell,WA,98011,875000,5,4.75,Bothell,4634,21924,1961,124,189,,Sold,,,http://www.redfin.com/WA/Bothell/19016-Ross-Rd-98011/home/286252,NWMLS,1310973,N,Y,47.7658938,-122.1937818
PAST SALE,October-31-2018,Single Family Residential,12820 NE 201st Place,Bothell,WA,98011,605000,3,2.5,Morningside,1700,5845,1988,87,356,,Sold,,,http://www.redfin.com/WA/Bothell/12820-NE-201st-Pl-98011/home/287996,NWMLS,1371346,N,Y,47.7741433,-122.16994
PAST SALE,September-28-2018,Mobile/Manufactured Home,19604 129th Ave NE,Bothell,WA,98011,310000,2,2.0,Bothell,1440,4561,1979,120,215,,Sold,,,http://www.redfin.com/WA/Bothell/19604-129th-Ave-NE-98011/home/44497020,NWMLS,1338725,N,Y,47.7697877,-122.1695
PAST SALE,September-27-2018,Single Family Residential,10823 NE 193rd (#4) St,Bothell,WA,98011,1349990,5,4.0,Bothell,4110,8999,2018,121,328,165,Sold,,,http://www.redfin.com/WA/Bothell/10823-NE-193rd-St-98011/home/146884953,NWMLS,1352588,N,Y,47.7673992,-122.1968369
PAST SALE,October-31-2018,Single Family Residential,18975 131st Place NE,Woodinville,WA,98072,838888,7,3.5,Woodinville,3366,9134,2004,87,249,,Sold,,,http://www.redfin.com/WA/Woodinville/18975-131st-Pl-NE-98072/home/145368179,NWMLS,1325450,N,Y,47.7649974,-122.164673
PAST SALE,October-30-2018,Condo/Co-op,9611 NE 182nd Place Unit 25C,Bothell,WA,98011,781417,4,3.25,Downtown Bothell,2048,,2018,88,382,137,Sold,,,http://www.redfin.com/WA/Bothell/9611-NE-182nd-Pl-98011/unit-25C/home/144766532,NWMLS,1237751,N,Y,47.7600826,-122.1678955
PAST SALE,September-14-2018,Condo/Co-op,9717 NE 182nd Place Unit 33C,Bothell,WA,98011,924829,4,3.25,Downtown Bothell,2097,,2018,134,441,137,Sold,,,http://www.redfin.com/WA/Bothell/9717-NE-182nd-Pl-98011/unit-33C/home/144762369,NWMLS,1236964,N,Y,47.7600826,-122.1678955
PAST SALE,August-7-2018,Vacant Land,12900 NE 192nd Pl,Bothell,WA,98011,900000,0,,Bothell,,87070,,172,,,Sold,,,http://www.redfin.com/WA/Bothell/12900-NE-192nd-Pl-98011/home/143408423,NWMLS,1183308,N,Y,47.7659159,-122.1680946
PAST SALE,November-26-2018,Single Family Residential,115 159th St SE,Bothell,WA,98012,590000,4,2.5,Martha Lake,2501,5559,2016,61,236,50,Sold,,,http://www.redfin.com/WA/Bothell/115-159th-St-SE-98012/unit-1/home/108293846,NWMLS,1356056,N,Y,47.8543549,-122.232914
PAST SALE,August-24-2018,Single Family Residential,14724 45th Ave SE,Bothell,WA,98012,525000,4,2.5,Silver Firs,2161,3150,2008,155,243,,Sold,,,http://www.redfin.com/WA/Bothell/14724-45th-Ave-SE-98012/home/21501179,NWMLS,1300163,N,Y,47.8636813,-122.1717015
PAST SALE,October-4-2018,Condo/Co-op,14915 38th Dr SE Unit B3004,Bothell,WA,98012,305000,2,1.75,Bothell,1109,399159,2007,114,275,236,Sold,,,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-B3004/home/146879472,NWMLS,1346977,N,Y,47.8622748,-122.1798117
PAST SALE,November-20-2018,Single Family Residential,15309 35th Dr SE,Bothell,WA,98012,460000,3,2.5,Mill Creek,1690,3920,2004,67,272,32,Sold,,,http://www.redfin.com/WA/Bothell/15309-35th-Dr-SE-98012/home/2910094,NWMLS,1359756,N,Y,47.8587745,-122.185729
PAST SALE,November-9-2018,Single Family Residential,110 170 St SE,Bothell,WA,98012,591000,3,2.75,Mill Creek,2470,5227,2003,78,239,30,Sold,,,http://www.redfin.com/WA/Bothell/110-170th-St-SE-98012/home/2906644,NWMLS,1363662,N,Y,47.8438929,-122.2308808
PAST SALE,October-11-2018,Single Family Residential,10806 NE 193rd (#8) St,Bothell,WA,98011,1430974,7,3.75,Bothell,4438,11178,2018,107,322,165,Sold,,,http://www.redfin.com/WA/Bothell/10806-NE-193rd-8-St-98011/home/146433992,NWMLS,1337162,N,Y,47.767376,-122.196106
PAST SALE,September-11-2018,Single Family Residential,18 174th St SW,Bothell,WA,98012,749900,4,2.5,Martha Lake,2200,14375,1992,137,341,,Sold,,,http://www.redfin.com/WA/Bothell/18-174th-St-SW-98012/home/2829769,NWMLS,1324774,N,Y,47.8403439,-122.2339749
PAST SALE,September-27-2018,Single Family Residential,2329 169th Place SE,Bothell,WA,98012,525000,3,2.5,Mill Creek,1782,9583,1987,121,295,,Sold,,,http://www.redfin.com/WA/Bothell/2329-169th-Pl-SE-98012/home/2811001,NWMLS,1346039,N,Y,47.8444416,-122.2006217
PAST SALE,October-12-2018,Condo/Co-op,16530 23rd Ave SE Unit A2,Bothell,WA,98012,325000,2,2.25,Mays Pond,1452,235929,1983,106,224,325,Sold,,,http://www.redfin.com/WA/Bothell/16530-23rd-Ave-SE-98012/unit-A2/home/2806214,NWMLS,1337195,N,Y,47.847982,-122.2031264
PAST SALE,November-15-2018,Single Family Residential,412 164th Place SE,Bothell,WA,98012,559950,4,3.0,Mill Creek,2200,8276,1984,72,255,,Sold,,,http://www.redfin.com/WA/Bothell/412-164th-Pl-SE-98012/home/2797499,NWMLS,1365137,N,Y,47.8487141,-122.2261973
PAST SALE,October-26-2018,Single Family Residential,601 167th St SE,Bothell,WA,98012,422000,3,2.0,Mill Creek,1276,6970,1984,92,331,10,Sold,,,http://www.redfin.com/WA/Bothell/601-167th-St-SE-98012/home/2797438,NWMLS,1366299,N,Y,47.8468467,-122.2242036
PAST SALE,December-13-2018,Condo/Co-op,2201 192nd St SE Unit X101,Bothell,WA,98012,378700,3,1.75,North Bothell,1386,379380,1999,44,273,416,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-X101/home/2866601,NWMLS,1369522,N,Y,47.8253977,-122.20303
PAST SALE,January-10-2019,Townhouse,15600 116th Ave NE Unit M4,Bothell,WA,98011,350000,2,1.5,Bothell,1036,278862,1986,16,338,411,Sold,,,http://www.redfin.com/WA/Bothell/15600-116th-Ave-NE-98011/unit-M4/home/9485,NWMLS,1383436,N,Y,47.7414334,-122.1861936
